#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4310280E  20   1   u    0       0         20              2      HB   -10    14      1
 4310240E  20   1   u    0       0         20              3      HB    -9    14      1
 4330300E  20   1   u    0       0         20              4      HB   -12    14      3
 43302C0E  20   1   u    0       0         20              5      HB   -11    14      3
 4330280E  20   1   u    0       0         20              6      HB   -10    14      3
 4330240E  20   1   u    0       0         20              7      HB    -9    14      3
 4340300D  20   1   u    0       0         21              0      HB   -12    13      4
 43402C0D  20   1   u    0       0         21              1      HB   -11    13      4
 4340280D  20   1   u    0       0         21              2      HB   -10    13      4
 4340240D  20   1   u    0       0         21              3      HB    -9    13      4
 4320300D  20   1   u    0       0         21              4      HB   -12    13      2
 43202C0D  20   1   u    0       0         21              5      HB   -11    13      2
 4320280D  20   1   u    0       0         21              6      HB   -10    13      2
 4320240D  20   1   u    0       0         21              7      HB    -9    13      2
 4310300C  20   1   u    0       0         22              0      HB   -12    12      1
 43102C0C  20   1   u    0       0         22              1      HB   -11    12      1
 4310280C  20   1   u    0       0         22              2      HB   -10    12      1
 4310240C  20   1   u    0       0         22              3      HB    -9    12      1
 4330300C  20   1   u    0       0         22              4      HB   -12    12      3
 43302C0C  20   1   u    0       0         22              5      HB   -11    12      3
 4330280C  20   1   u    0       0         22              6      HB   -10    12      3
 4330240C  20   1   u    0       0         22              7      HB    -9    12      3
 4340300B  20   1   u    0       0         23              0      HB   -12    11      4
 43402C0B  20   1   u    0       0         23              1      HB   -11    11      4
 4340280B  20   1   u    0       0         23              2      HB   -10    11      4
 4340240B  20   1   u    0       0         23              3      HB    -9    11      4
 4320300B  20   1   u    0       0         23              4      HB   -12    11      2
 43202C0B  20   1   u    0       0         23              5      HB   -11    11      2
 4320280B  20   1   u    0       0         23              6      HB   -10    11      2
 4320240B  20   1   u    0       0         23              7      HB    -9    11      2
 4310400E  20   2   u    0       0          2              0      HB   -16    14      1
 43103C0E  20   2   u    0       0          2              1      HB   -15    14      1
 4310380E  20   2   u    0       0          2              2      HB   -14    14      1
 4310340E  20   2   u    0       0          2              3      HB   -13    14      1
 4330400E  20   2   u    0       0          2              4      HB   -16    14      3
 43303C0E  20   2   u    0       0          2              5      HB   -15    14      3
 4330380E  20   2   u    0       0          2              6      HB   -14    14      3
 4330340E  20   2   u    0       0          2              7      HB   -13    14      3
 4340380E  20   2   u    0       0          3              0      HB   -14    14      4
 4340340E  20   2   u    0       0          3              1      HB   -13    14      4
 4E2C080E  20   2   u    0       0          3              2     HBX   -16    14   -999
 43403C0E  20   2   u    0       0          3              3      HB   -15    14      4
 4320380E  20   2   u    0       0          3              4      HB   -14    14      2
 4320340E  20   2   u    0       0          3              5      HB   -13    14      2
 4320400E  20   2   u    0       0          3              6      HB   -16    14      2
 43203C0E  20   2   u    0       0          3              7      HB   -15    14      2
 4E2C080D  20   2   u    0       0          4              0     HBX   -16    13   -999
 43403C0D  20   2   u    0       0          4              1      HB   -15    13      4
 4340380D  20   2   u    0       0          4              2      HB   -14    13      4
 4340340D  20   2   u    0       0          4              3      HB   -13    13      4
 4320400D  20   2   u    0       0          4              4      HB   -16    13      2
 43203C0D  20   2   u    0       0          4              5      HB   -15    13      2
 4320380D  20   2   u    0       0          4              6      HB   -14    13      2
 4320340D  20   2   u    0       0          4              7      HB   -13    13      2
 4310380D  20   2   u    0       0          5              0      HB   -14    13      1
 4310340D  20   2   u    0       0          5              1      HB   -13    13      1
 4310400D  20   2   u    0       0          5              2      HB   -16    13      1
 43103C0D  20   2   u    0       0          5              3      HB   -15    13      1
 4330380D  20   2   u    0       0          5              4      HB   -14    13      3
 4330340D  20   2   u    0       0          5              5      HB   -13    13      3
 4330400D  20   2   u    0       0          5              6      HB   -16    13      3
 43303C0D  20   2   u    0       0          5              7      HB   -15    13      3
 4310400C  20   2   u    0       0          6              0      HB   -16    12      1
 43103C0C  20   2   u    0       0          6              1      HB   -15    12      1
 4310380C  20   2   u    0       0          6              2      HB   -14    12      1
 4310340C  20   2   u    0       0          6              3      HB   -13    12      1
 4330400C  20   2   u    0       0          6              4      HB   -16    12      3
 43303C0C  20   2   u    0       0          6              5      HB   -15    12      3
 4330380C  20   2   u    0       0          6              6      HB   -14    12      3
 4330340C  20   2   u    0       0          6              7      HB   -13    12      3
 4340380C  20   2   u    0       0          7              0      HB   -14    12      4
 4340340C  20   2   u    0       0          7              1      HB   -13    12      4
 4E2C080C  20   2   u    0       0          7              2     HBX   -16    12   -999
 43403C0C  20   2   u    0       0          7              3      HB   -15    12      4
 4320380C  20   2   u    0       0          7              4      HB   -14    12      2
 4320340C  20   2   u    0       0          7              5      HB   -13    12      2
 4320400C  20   2   u    0       0          7              6      HB   -16    12      2
 43203C0C  20   2   u    0       0          7              7      HB   -15    12      2
 4E2C080B  20   2   u    0       0          8              0     HBX   -16    11   -999
 43403C0B  20   2   u    0       0          8              1      HB   -15    11      4
 4340380B  20   2   u    0       0          8              2      HB   -14    11      4
 4340340B  20   2   u    0       0          8              3      HB   -13    11      4
 4320400B  20   2   u    0       0          8              4      HB   -16    11      2
 43203C0B  20   2   u    0       0          8              5      HB   -15    11      2
 4320380B  20   2   u    0       0          8              6      HB   -14    11      2
 4320340B  20   2   u    0       0          8              7      HB   -13    11      2
 4310380B  20   2   u    0       0          9              0      HB   -14    11      1
 4310340B  20   2   u    0       0          9              1      HB   -13    11      1
 4310400B  20   2   u    0       0          9              2      HB   -16    11      1
 43103C0B  20   2   u    0       0          9              3      HB   -15    11      1
 4330380B  20   2   u    0       0          9              4      HB   -14    11      3
 4330340B  20   2   u    0       0          9              5      HB   -13    11      3
 4330400B  20   2   u    0       0          9              6      HB   -16    11      3
 43303C0B  20   2   u    0       0          9              7      HB   -15    11      3
 4E2248B0  20   2   u    0       0         10              4 CALIB_HB    -1    11      0
 4E2248B1  20   2   u    0       0         10              5 CALIB_HB    -1    11      1
 4E2248B2  20   2   u    0       0         10              6 CALIB_HB    -1    11      2
 4510740D  20   2   u    0       0         12              0      HE   -29    13      1
 4510700D  20   2   u    0       0         12              1      HE   -28    13      1
 4520480E  20   2   u    0       0         12              2      HE   -18    14      2
 4520440E  20   2   u    0       0         12              3      HE   -17    14      2
 4540400E  20   2   u    0       0         12              4      HE   -16    14      4
 4520740D  20   2   u    0       0         12              5      HE   -29    13      2
 4520700D  20   2   u    0       0         13              0      HE   -28    13      2
 4550700D  20   2   u    0       0         13              1      HE   -28    13      5
 4530700D  20   2   u    0       0         13              2      HE   -28    13      3
 4570700D  20   2   u    0       0         13              3      HE   -28    13      7
 4570680D  20   2   u    0       0         13              4      HE   -26    13      7
 4560700D  20   2   u    0       0         13              5      HE   -28    13      6
 4530480E  20   2   u    0       0         14              0      HE   -18    14      3
 4540700D  20   2   u    0       0         14              1      HE   -28    13      4
 4530440E  20   2   u    0       0         14              2      HE   -17    14      3
 4550480E  20   2   u    0       0         14              3      HE   -18    14      5
 4510480E  20   2   u    0       0         14              4      HE   -18    14      1
 4540480E  20   2   u    0       0         14              5      HE   -18    14      4
 4510480D  20   2   u    0       0         15              0      HE   -18    13      1
 4540480D  20   2   u    0       0         15              1      HE   -18    13      4
 4550480D  20   2   u    0       0         15              2      HE   -18    13      5
 4530440D  20   2   u    0       0         15              3      HE   -17    13      3
 45406C0D  20   2   u    0       0         15              4      HE   -27    13      4
 4530480D  20   2   u    0       0         15              5      HE   -18    13      3
 45706C0D  20   2   u    0       0         16              0      HE   -27    13      7
 45306C0D  20   2   u    0       0         16              1      HE   -27    13      3
 45506C0D  20   2   u    0       0         16              2      HE   -27    13      5
 45606C0D  20   2   u    0       0         16              3      HE   -27    13      6
 4530740D  20   2   u    0       0         16              4      HE   -29    13      3
 4E2E0C8D  20   2   u    0       0         16              5     HEX   -25    13   -999
 45106C0D  20   2   u    0       0         17              0      HE   -27    13      1
 4E2E0D8D  20   2   u    0       0         17              1     HEX   -27    13   -999
 4520480D  20   2   u    0       0         17              2      HE   -18    13      2
 4520440D  20   2   u    0       0         17              3      HE   -17    13      2
 4540400D  20   2   u    0       0         17              4      HE   -16    13      4
 45206C0D  20   2   u    0       0         17              5      HE   -27    13      2
 45106C0B  20   2   u    0       0         18              0      HE   -27    11      1
 4E2E0C8B  20   2   u    0       0         18              1     HEX   -25    11   -999
 4520480C  20   2   u    0       0         18              2      HE   -18    12      2
 4520440C  20   2   u    0       0         18              3      HE   -17    12      2
 4540400C  20   2   u    0       0         18              4      HE   -16    12      4
 45206C0B  20   2   u    0       0         18              5      HE   -27    11      2
 4E2E0D8B  20   2   u    0       0         19              0     HEX   -27    11   -999
 45506C0B  20   2   u    0       0         19              1      HE   -27    11      5
 45306C0B  20   2   u    0       0         19              2      HE   -27    11      3
 45706C0B  20   2   u    0       0         19              3      HE   -27    11      7
 4530740B  20   2   u    0       0         19              4      HE   -29    11      3
 45606C0B  20   2   u    0       0         19              5      HE   -27    11      6
 4530480C  20   2   u    0       0         20              0      HE   -18    12      3
 45406C0B  20   2   u    0       0         20              1      HE   -27    11      4
 4530440C  20   2   u    0       0         20              2      HE   -17    12      3
 4550480C  20   2   u    0       0         20              3      HE   -18    12      5
 4510480C  20   2   u    0       0         20              4      HE   -18    12      1
 4540480C  20   2   u    0       0         20              5      HE   -18    12      4
 4510480B  20   2   u    0       0         21              0      HE   -18    11      1
 4540480B  20   2   u    0       0         21              1      HE   -18    11      4
 4550480B  20   2   u    0       0         21              2      HE   -18    11      5
 4530440B  20   2   u    0       0         21              3      HE   -17    11      3
 4540700B  20   2   u    0       0         21              4      HE   -28    11      4
 4530480B  20   2   u    0       0         21              5      HE   -18    11      3
 4570700B  20   2   u    0       0         22              0      HE   -28    11      7
 4530700B  20   2   u    0       0         22              1      HE   -28    11      3
 4550700B  20   2   u    0       0         22              2      HE   -28    11      5
 4560700B  20   2   u    0       0         22              3      HE   -28    11      6
 4570680B  20   2   u    0       0         22              4      HE   -26    11      7
 4520700B  20   2   u    0       0         22              5      HE   -28    11      2
 4510740B  20   2   u    0       0         23              0      HE   -29    11      1
 4510700B  20   2   u    0       0         23              1      HE   -28    11      1
 4520480B  20   2   u    0       0         23              2      HE   -18    11      2
 4520440B  20   2   u    0       0         23              3      HE   -17    11      2
 4540400B  20   2   u    0       0         23              4      HE   -16    11      4
 4520740B  20   2   u    0       0         23              5      HE   -29    11      2
 45204C0E  20   3   u    0       0          1              0      HE   -19    14      2
 4530500E  20   3   u    0       0          1              1      HE   -20    14      3
 4530580D  20   3   u    0       0          1              2      HE   -22    13      3
 4530600D  20   3   u    0       0          1              3      HE   -24    13      3
 4520600D  20   3   u    0       0          1              4      HE   -24    13      2
 4520680D  20   3   u    0       0          1              5      HE   -26    13      2
 4560600D  20   3   u    0       0          2              0      HE   -24    13      6
 4550600D  20   3   u    0       0          2              1      HE   -24    13      5
 4550680D  20   3   u    0       0          2              2      HE   -26    13      5
 4560680D  20   3   u    0       0          2              3      HE   -26    13      6
 45304C0E  20   3   u    0       0          2              4      HE   -19    14      3
 4530680D  20   3   u    0       0          2              5      HE   -26    13      3
 45504C0E  20   3   u    0       0          3              0      HE   -19    14      5
 4540680D  20   3   u    0       0          3              1      HE   -26    13      4
 4560500E  20   3   u    0       0          3              2      HE   -20    14      6
 4550500E  20   3   u    0       0          3              3      HE   -20    14      5
 4550580D  20   3   u    0       0          3              4      HE   -22    13      5
 4560580D  20   3   u    0       0          3              5      HE   -22    13      6
 45104C0E  20   3   u    0       0          4              0      HE   -19    14      1
 4510500E  20   3   u    0       0          4              1      HE   -20    14      1
 4510580D  20   3   u    0       0          4              2      HE   -22    13      1
 4510600D  20   3   u    0       0          4              3      HE   -24    13      1
 45404C0E  20   3   u    0       0          4              4      HE   -19    14      4
 4510680D  20   3   u    0       0          4              5      HE   -26    13      1
 45604C0E  20   3   u    0       0          5              0      HE   -19    14      6
 4540600D  20   3   u    0       0          5              1      HE   -24    13      4
 4520580D  20   3   u    0       0          5              2      HE   -22    13      2
 4520500E  20   3   u    0       0          5              3      HE   -20    14      2
 4540580D  20   3   u    0       0          5              4      HE   -22    13      4
 4540500E  20   3   u    0       0          5              5      HE   -20    14      4
 45504C0D  20   3   u    0       0          6              0      HE   -19    13      5
 45604C0D  20   3   u    0       0          6              1      HE   -19    13      6
 4520540D  20   3   u    0       0          6              2      HE   -21    13      2
 4520500D  20   3   u    0       0          6              3      HE   -20    13      2
 4540540D  20   3   u    0       0          6              4      HE   -21    13      4
 4540500D  20   3   u    0       0          6              5      HE   -20    13      4
 45104C0D  20   3   u    0       0          7              0      HE   -19    13      1
 4510500D  20   3   u    0       0          7              1      HE   -20    13      1
 4510540D  20   3   u    0       0          7              2      HE   -21    13      1
 45105C0D  20   3   u    0       0          7              3      HE   -23    13      1
 45404C0D  20   3   u    0       0          7              4      HE   -19    13      4
 4510640D  20   3   u    0       0          7              5      HE   -25    13      1
 45605C0D  20   3   u    0       0          8              0      HE   -23    13      6
 4540640D  20   3   u    0       0          8              1      HE   -25    13      4
 4550500D  20   3   u    0       0          8              2      HE   -20    13      5
 4560540D  20   3   u    0       0          8              3      HE   -21    13      6
 45405C0D  20   3   u    0       0          8              4      HE   -23    13      4
 4560500D  20   3   u    0       0          8              5      HE   -20    13      6
 4550540D  20   3   u    0       0          9              0      HE   -21    13      5
 45505C0D  20   3   u    0       0          9              1      HE   -23    13      5
 4560640D  20   3   u    0       0          9              2      HE   -25    13      6
 4550640D  20   3   u    0       0          9              3      HE   -25    13      5
 45304C0D  20   3   u    0       0          9              4      HE   -19    13      3
 4530640D  20   3   u    0       0          9              5      HE   -25    13      3
 45204C0D  20   3   u    0       0         10              0      HE   -19    13      2
 4530500D  20   3   u    0       0         10              1      HE   -20    13      3
 4530540D  20   3   u    0       0         10              2      HE   -21    13      3
 45305C0D  20   3   u    0       0         10              3      HE   -23    13      3
 45205C0D  20   3   u    0       0         10              4      HE   -23    13      2
 4520640D  20   3   u    0       0         10              5      HE   -25    13      2
 4E2288B0  20   3   u    0       0         11              0 CALIB_HE    -1    11      0
 4E2288B1  20   3   u    0       0         11              1 CALIB_HE    -1    11      1
 4E2288B2  20   3   u    0       0         11              2 CALIB_HE    -1    11      2
 4E2288B3  20   3   u    0       0         11              3 CALIB_HE    -1    11      3
 4E2288B4  20   3   u    0       0         11              4 CALIB_HE    -1    11      4
 4E2288B5  20   3   u    0       0         11              5 CALIB_HE    -1    11      5
 45204C0C  20   3   u    0       0         13              0      HE   -19    12      2
 4530500C  20   3   u    0       0         13              1      HE   -20    12      3
 4530540B  20   3   u    0       0         13              2      HE   -21    11      3
 45305C0B  20   3   u    0       0         13              3      HE   -23    11      3
 45205C0B  20   3   u    0       0         13              4      HE   -23    11      2
 4520640B  20   3   u    0       0         13              5      HE   -25    11      2
 45605C0B  20   3   u    0       0         14              0      HE   -23    11      6
 45505C0B  20   3   u    0       0         14              1      HE   -23    11      5
 4550640B  20   3   u    0       0         14              2      HE   -25    11      5
 4560640B  20   3   u    0       0         14              3      HE   -25    11      6
 45304C0C  20   3   u    0       0         14              4      HE   -19    12      3
 4530640B  20   3   u    0       0         14              5      HE   -25    11      3
 45504C0C  20   3   u    0       0         15              0      HE   -19    12      5
 4540640B  20   3   u    0       0         15              1      HE   -25    11      4
 4560500C  20   3   u    0       0         15              2      HE   -20    12      6
 4550500C  20   3   u    0       0         15              3      HE   -20    12      5
 4550540B  20   3   u    0       0         15              4      HE   -21    11      5
 4560540B  20   3   u    0       0         15              5      HE   -21    11      6
 45104C0C  20   3   u    0       0         16              0      HE   -19    12      1
 4510500C  20   3   u    0       0         16              1      HE   -20    12      1
 4510540B  20   3   u    0       0         16              2      HE   -21    11      1
 45105C0B  20   3   u    0       0         16              3      HE   -23    11      1
 45404C0C  20   3   u    0       0         16              4      HE   -19    12      4
 4510640B  20   3   u    0       0         16              5      HE   -25    11      1
 45604C0C  20   3   u    0       0         17              0      HE   -19    12      6
 45405C0B  20   3   u    0       0         17              1      HE   -23    11      4
 4520540B  20   3   u    0       0         17              2      HE   -21    11      2
 4520500C  20   3   u    0       0         17              3      HE   -20    12      2
 4540540B  20   3   u    0       0         17              4      HE   -21    11      4
 4540500C  20   3   u    0       0         17              5      HE   -20    12      4
 45504C0B  20   3   u    0       0         18              0      HE   -19    11      5
 45604C0B  20   3   u    0       0         18              1      HE   -19    11      6
 4520580B  20   3   u    0       0         18              2      HE   -22    11      2
 4520500B  20   3   u    0       0         18              3      HE   -20    11      2
 4540580B  20   3   u    0       0         18              4      HE   -22    11      4
 4540500B  20   3   u    0       0         18              5      HE   -20    11      4
 45104C0B  20   3   u    0       0         19              0      HE   -19    11      1
 4510500B  20   3   u    0       0         19              1      HE   -20    11      1
 4510580B  20   3   u    0       0         19              2      HE   -22    11      1
 4510600B  20   3   u    0       0         19              3      HE   -24    11      1
 45404C0B  20   3   u    0       0         19              4      HE   -19    11      4
 4510680B  20   3   u    0       0         19              5      HE   -26    11      1
 4560600B  20   3   u    0       0         20              0      HE   -24    11      6
 4540680B  20   3   u    0       0         20              1      HE   -26    11      4
 4550500B  20   3   u    0       0         20              2      HE   -20    11      5
 4560580B  20   3   u    0       0         20              3      HE   -22    11      6
 4540600B  20   3   u    0       0         20              4      HE   -24    11      4
 4560500B  20   3   u    0       0         20              5      HE   -20    11      6
 4550580B  20   3   u    0       0         21              0      HE   -22    11      5
 4550600B  20   3   u    0       0         21              1      HE   -24    11      5
 4560680B  20   3   u    0       0         21              2      HE   -26    11      6
 4550680B  20   3   u    0       0         21              3      HE   -26    11      5
 45304C0B  20   3   u    0       0         21              4      HE   -19    11      3
 4530680B  20   3   u    0       0         21              5      HE   -26    11      3
 45204C0B  20   3   u    0       0         22              0      HE   -19    11      2
 4530500B  20   3   u    0       0         22              1      HE   -20    11      3
 4530580B  20   3   u    0       0         22              2      HE   -22    11      3
 4530600B  20   3   u    0       0         22              3      HE   -24    11      3
